"","CSF-cN","Excit-01","Excit-02","Excit-03","Excit-04","Excit-05","Excit-06","Excit-07","Excit-08","Excit-09","Excit-10","Excit-11","Excit-12","Excit-13","Excit-14","Excit-15","Excit-16","Excit-17","Excit-18","Excit-19","Excit-20","Excit-21","Excit-22","Excit-23","Excit-24","Excit-25","Excit-26","Excit-27","Excit-28","Excit-29","Excit-30","Excit-31","Excit-32","Excit-33","Excit-34","Excit-35","Excit-36","Excit-37","Excit-38","Inhib-01","Inhib-02","Inhib-03","Inhib-04","Inhib-05","Inhib-06","Inhib-07","Inhib-08","Inhib-09","Inhib-10","Inhib-11","Inhib-12","Inhib-13","Inhib-14","Inhib-15","Inhib-16","Inhib-17","Inhib-18","Inhib-19","Inhib-20","Inhib-21","Inhib-22","Inhib-23","Inhib-24","Inhib-25","Inhib-26","Inhib-27","MN-alpha","MN-gamma","PGC"
"CSF-cN",0,0,0,0,0,0,0,0,0,0,0,5.81457676658394e-05,5.85308389748847e-05,5.236969803016e-05,5.54502685025224e-05,4.92891275577977e-05,5.39099832663412e-05,6.31516946834283e-05,0,0,0,0,6.46919799196094e-05,0,0,0,0,0,0,7.7822911558054e-05,6.9312835628153e-05,7.86508148725013e-05,9.76925911047911e-05,0,6.62322651557906e-05,0.00015710909409048,7.17484116578644e-05,1.53643452309072e-05,8.48600897308567e-05,0,0,1.09745323077909e-06,2.19490646155818e-06,0,0,6.16114094472471e-05,0,6.31516946834283e-05,2.19490646155818e-06,0,0,0,0,5.12144841030241e-05,5.85308389748847e-05,6.95438784135801e-05,0,0,8.56879930453041e-05,0,0.000107213479220936,8.27903314447382e-05,6.95438784135801e-05,0,7.200833479147e-05,6.16114094472471e-05,0.000248024430156074,8.77577513314225e-05,0
"Excit-01",0,0,0,0,0,0,0,0,0,0,0,6.25067002407774e-05,6.29206518980011e-05,5.6297425382422e-05,5.96090386402116e-05,5.29858121246325e-05,5.79532320113168e-05,6.78880717846854e-05,0,0,0,0,6.95438784135801e-05,0,0,0,0,0,0,7.7822911558054e-05,7.41454805566714e-05,7.86508148725013e-05,9.76925911047911e-05,0,7.11996850424749e-05,0.000152488238381937,7.16713973960554e-05,1.2437803282163e-05,8.48600897308567e-05,0,0,5.22734302028987e-05,1.88684941432194e-06,0,4.63625856090534e-05,6.62322651557906e-05,0,6.78880717846854e-05,1.88684941432194e-06,0,0,0,0,5.5055570410751e-05,6.29206518980011e-05,6.95438784135801e-05,0,5.38137154390799e-05,8.56879930453041e-05,0,0.000107213479220936,8.27903314447382e-05,6.95438784135801e-05,0,7.74089599008303e-05,6.62322651557906e-05,0.000187337191850536,8.77577513314225e-05,0
"Excit-02",8.89284095738008e-08,1.44508665557426e-06,1.17830142685286e-06,1.24499773403321e-06,8.00355686164207e-07,8.67051993344558e-07,7.55891481377307e-07,7.33659378983857e-07,1.17830142685286e-06,7.55891481377307e-07,3.11249433508303e-07,5.34872602237149e-05,5.32891378932161e-05,1.68408175630385e-06,5.1083543079123e-05,1.24499773403321e-06,4.93193406258713e-05,5.9037503352037e-05,8.22587788557658e-07,1.86749660104982e-06,1.84526449865637e-06,2.57892387764022e-06,6.17354541058136e-05,1.37839034839391e-06,1.28946193882011e-06,1.1282791964676e-06,3.77945740688653e-07,1.64517557711531e-06,3.02356592550923e-06,6.94559773035964e-05,6.70803920345248e-05,6.94932586392712e-05,0.000144949791689163,9.78212505311809e-07,6.14543031388679e-05,0.000223339793760517,6.43117908179511e-05,2.15614578219482e-05,7.48362299769401e-05,2.62894610802549e-06,2.03423736900069e-06,5.18140490072354e-06,5.32168058373224e-06,2.17318800895976e-06,3.0569140790994e-06,5.85182986328185e-05,2.35660285370572e-06,6.04270097516276e-05,4.33791005282207e-06,2.79568687597636e-06,2.57336585204186e-06,2.12872380417286e-06,3.1458424886732e-06,1.76189411468093e-06,5.65239087914631e-05,6.09795626244363e-05,3.42374376859133e-06,1.70075583309894e-06,7.52069928485165e-05,1.82303239626292e-06,0.000159405685210014,0.000122795849572633,6.12908120579446e-05,1.67296570510713e-06,6.67194621181597e-05,5.7851335561015e-05,0.000277000435321122,0.000130880808170203,1.88972870344327e-06
"Excit-03",4.89106252655905e-07,1.72854596109075e-06,1.73410398668912e-06,1.60071137232841e-06,1.24499773403321e-06,1.42285455318081e-06,1.4395286299759e-06,1.15606932445941e-06,1.66740767950877e-06,1.17830142685286e-06,1.00044460770526e-06,1.72854596109075e-06,1.50066691155789e-06,2.21765221374666e-06,1.77856819147602e-06,1.82303239626292e-06,1.66740767950877e-06,2.35660285370572e-06,1.31169404121356e-06,2.23432629054175e-06,2.15651393216467e-06,2.69008438960747e-06,3.51267217816513e-06,1.85638054985309e-06,1.89528672904163e-06,1.5729212443366e-06,1.28946193882011e-06,2.06758552259087e-06,3.2792351030339e-06,4.30191181313262e-06,5.89851810110992e-06,3.64606479252583e-06,5.4072962754474e-05,1.37839034839391e-06,2.33437075131227e-06,9.04901921398904e-05,4.41394869595557e-06,1.36972813559315e-05,3.79057345808326e-06,2.7456646455911e-06,2.59003992883695e-06,4.89281526827045e-06,4.46660003890794e-06,2.69564241520584e-06,3.25700300064045e-06,3.29035115423063e-06,2.82347700396818e-06,3.63494874132911e-06,3.73849868552244e-06,3.17363261666502e-06,2.64006215922221e-06,2.55113374964841e-06,3.25700300064046e-06,2.00644724100888e-06,3.95731422603414e-06,2.86794120875508e-06,3.42374376859133e-06,2.06758552259087e-06,3.46820797337823e-06,1.93419290823017e-06,5.96722161672825e-05,3.44597587098478e-06,3.06803013029613e-06,1.85082252425473e-06,1.93419290823017e-06,2.51222757045987e-06,0.000103333274941694,4.34637601791952e-06,2.26767444413192e-06
"Excit-04",0,0,0,0,0,0,0,0,3.85071309045294e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15639933065365e-06,0,4.99822559140792e-05,0,0,7.97482681032804e-05,2.69549916331706e-07,6.66173364648359e-06,0,0,0,5.77606963567941e-07,1.11670679623135e-06,0,0,0,0,0,1.07819966532682e-06,3.85071309045294e-08,0,0,0,0,0,0,0,0,0,0,5.48822883216806e-05,0,0,0,0,0,9.59597702140873e-05,0,0
"Excit-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84952768693518e-06,4.20690405131984e-05,5.22541766374464e-05,0,0,8.77962584623271e-05,3.56190960866897e-07,9.97334690427312e-06,0,0,0,7.12381921733794e-07,1.42476384346759e-06,0,0,0,0,0,1.42476384346759e-06,0,0,0,0,0,0,0,0,0,0,0,5.73467446995704e-05,4.42832005402088e-05,0,0,0,0,0.00015668551565053,0,0
"Excit-06",0,0,0,0,0,0,0,0,0,0,0,4.94239025159635e-05,4.9751213128652e-05,0,4.7132728227144e-05,0,4.582348577639e-05,5.3678940480914e-05,0,0,0,0,5.4988182931668e-05,0,0,0,0,0,0,6.1534395185438e-05,5.98015742947342e-05,6.2189016410815e-05,0.000120411798338464,0,5.6297425382422e-05,0.000184256621378173,5.68172716496332e-05,1.45556954819121e-05,6.70986756011425e-05,0,0,1.03969253442229e-06,2.07938506884459e-06,0,0,5.236969803016e-05,0,5.3678940480914e-05,2.07938506884459e-06,0,0,0,0,0,4.9751213128652e-05,5.4988182931668e-05,0,0,6.77532968265195e-05,0,0.000132146846481619,6.54621225377e-05,5.4988182931668e-05,0,6.12070845727495e-05,5.236969803016e-05,0.000230657714118131,6.9389849889962e-05,0
"Excit-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05213557467426e-05,0,0,0,0,5.17535839356875e-05,0,0,0,0,0,0,5.79147248804122e-05,2.84952768693518e-06,5.85308389748847e-05,7.27014631477515e-05,0,5.29858121246325e-05,0.000113788571822884,5.33420030854994e-05,9.35723280980065e-06,6.31516946834282e-05,0,0,7.12381921733794e-07,1.42476384346759e-06,0,0,4.92891275577977e-05,0,5.05213557467426e-05,1.42476384346759e-06,0,0,0,0,0,4.68246711799078e-05,5.17535839356875e-05,0,0,6.37678087779007e-05,0,7.9786775234185e-05,6.16114094472471e-05,5.17535839356875e-05,0,5.7606667833176e-05,4.92891275577977e-05,0.000139434321005301,6.53080940140819e-05,0
"Excit-08",0,0,0,0,0,0,0,0,0,0,0,0,4.82879421542799e-05,0,4.5746471514581e-05,0,4.44757361947315e-05,5.21001481138283e-05,0,0,0,0,5.33708834336778e-05,0,0,0,0,0,0,5.97245600329251e-05,2.92654194874424e-06,6.03599276928499e-05,7.49733838711188e-05,0,5.46416187535273e-05,0.000117254213604292,5.50074364971203e-05,9.62678272613236e-06,6.51251851422854e-05,0,0,7.31635487186059e-07,1.46327097437212e-06,0,0,5.08294127939789e-05,0,5.21001481138283e-05,1.46327097437212e-06,0,0,0,0,0,4.82879421542799e-05,5.33708834336778e-05,0,0,6.57605528022101e-05,0,8.22801119602533e-05,6.35367659924735e-05,5.33708834336778e-05,0,5.94068762029628e-05,5.08294127939788e-05,0.000143785626797513,6.7348971952022e-05,0
"Excit-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57879236708571e-06,0,0,0,0,6.38255694742575e-05,1.97349045885713e-07,5.12144841030242e-06,0,0,0,3.94698091771427e-07,7.89396183542853e-07,0,0,0,0,0,7.89396183542853e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84197720870742e-05,0,0
"Excit-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69431375979929e-06,0,4.7710335190712e-05,0,0,7.33560843731286e-05,2.11789219974912e-07,5.66054824296583e-06,0,0,0,4.23578439949824e-07,8.47156879899647e-07,0,0,0,0,0,8.47156879899647e-07,0,0,0,0,0,0,0,0,0,0,0,5.23600712474339e-05,0,0,0,0,0,9.14159287673529e-05,0,0
"Excit-11",4.00177843082104e-07,1.57847926993496e-06,1.57847926993496e-06,1.60071137232841e-06,1.13383722206596e-06,1.42285455318081e-06,1.2172076060414e-06,9.55980402918359e-07,1.53401506514806e-06,1.13383722206596e-06,9.11516198131458e-07,1.48955086036116e-06,1.36727429719719e-06,2.10649170177941e-06,1.68963978190222e-06,1.75633608908257e-06,1.60071137232841e-06,5.08600039368043e-05,1.26722983642666e-06,2.18986208575485e-06,2.08981762498432e-06,2.69008438960747e-06,3.51267217816513e-06,1.67852373070549e-06,1.76189411468093e-06,1.395064425189e-06,1.08937301727906e-06,1.95642501062362e-06,3.2792351030339e-06,5.99543427529038e-05,6.06584311629794e-06,5.98905428699541e-05,7.39522690839373e-05,1.17830142685286e-06,5.3139264077859e-05,0.0001173489159458,5.53564761869665e-05,1.38001974289778e-05,6.44754050679401e-05,2.72343254319765e-06,2.45664731447625e-06,4.92353047087073e-06,4.57249464889539e-06,2.4788794168697e-06,3.12361038627975e-06,3.15695853986993e-06,2.73454859439437e-06,5.2004957210067e-05,3.73323278354265e-06,3.04024000230432e-06,2.57336585204186e-06,2.37327693050081e-06,3.1458424886732e-06,1.76189411468093e-06,3.84615371406689e-06,5.24665081575941e-05,3.26811905183718e-06,1.93419290823017e-06,6.47450867208922e-05,1.82303239626292e-06,8.148891252038e-05,6.26506896366988e-05,3.04579802790268e-06,1.76189411468093e-06,1.84526449865637e-06,4.97648380710638e-05,0.000141176157838121,6.71033726095763e-05,2.15651393216467e-06
"Excit-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84834228341741e-06,0,4.99822559140792e-05,0,0,7.73993331181041e-05,2.31042785427177e-07,6.19964807562924e-06,0,0,0,4.62085570854353e-07,9.24171141708706e-07,0,0,0,0,0,9.24171141708706e-07,0,0,0,0,0,0,0,0,0,0,0,5.48534079735022e-05,0,0,0,0,0,9.58057416904692e-05,0,0
"Excit-13",2.89017331114853e-07,1.5284570395497e-06,1.42285455318081e-06,1.28946193882011e-06,9.33748300524909e-07,1.00044460770526e-06,1.2172076060414e-06,8.44819890951108e-07,1.51178296275461e-06,1.02267671009871e-06,8.89284095738008e-07,5.94886704766252e-05,5.92877424021609e-05,5.41933433240378e-05,5.65710230823493e-05,5.06262460876767e-05,5.51070609360746e-05,6.50913673429691e-05,1.00044460770526e-06,2.23432629054175e-06,2.15651393216467e-06,2.69008438960747e-06,6.7800327223277e-05,1.47843480916444e-06,1.89528672904163e-06,1.3506002204021e-06,9.55980402918359e-07,1.62294347472186e-06,3.07914618149285e-06,8.16723645830584e-05,7.19334342110148e-05,8.18396074855359e-05,0.000101215317764344,1.26722983642666e-06,6.80859879426988e-05,0.000157781403395556,7.5322423560965e-05,1.66719572183064e-05,8.81572905742257e-05,2.65117821041894e-06,2.4344152120828e-06,5.07160192060647e-06,4.91865977875215e-06,2.5678078264435e-06,3.16807459106665e-06,6.44277608828586e-05,2.71231649200092e-06,6.63919453329859e-05,4.09607199019449e-06,3.17363261666502e-06,2.64006215922221e-06,2.55113374964841e-06,3.25700300064046e-06,5.29008408183891e-05,6.21223354573258e-05,6.71555962538669e-05,3.42374376859133e-06,2.06758552259087e-06,8.8658015012605e-05,1.91196080583672e-06,0.000111408953233199,8.57549681794164e-05,7.22075836693787e-05,1.76189411468093e-06,7.347024350486e-05,6.37385657086617e-05,0.000193314813082854,9.15939078648571e-05,2.24544234173847e-06
